,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7721153846153846,0.8145833333333333,0.9012345679012346,0.7848101265822784
1,1,0.8848039215686274,0.7128927410617552,0.9,0.8690476190476191
2,2,0.8185941043083901,0.8102564102564102,0.7402597402597403,0.75
3,3,0.7023474178403756,0.8624733475479744,0.7790697674418605,0.8765432098765432
4,4,0.7916666666666667,0.7009803921568628,0.8734177215189873,0.8
5,5,0.8096590909090908,0.8115384615384615,0.8048780487804879,0.7662337662337663
6,6,0.8528428093645486,0.8235294117647058,0.8536585365853658,0.8641975308641976
7,7,0.7857142857142857,0.7681498829039812,0.6823529411764706,0.64
8,8,0.5468599033816425,0.7770345596432553,0.6666666666666667,0.7682926829268293
9,9,0.7746478873239436,0.7283549783549783,0.8604651162790697,0.875
