,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8788461538461538,0.84375,0.8395061728395061,0.8481012658227848
1,1,0.849264705882353,0.8396533044420369,0.8875,0.8690476190476191
2,2,0.86281179138322,0.8338461538461538,0.8311688311688312,0.825
3,3,0.8948356807511737,0.8976545842217484,0.813953488372093,0.8271604938271605
4,4,0.808531746031746,0.8370098039215685,0.6708860759493671,0.775
5,5,0.9251893939393939,0.9615384615384615,0.8048780487804879,0.7272727272727273
6,6,0.8127090301003345,0.8540723981900453,0.8780487804878049,0.8641975308641976
7,7,0.8314285714285714,0.7939110070257611,0.8941176470588236,0.88
8,8,0.6966183574879228,0.8093645484949833,0.8333333333333334,0.8902439024390244
9,9,0.9380281690140845,0.8874458874458875,0.8837209302325582,0.8125
