,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8999999999999999,0.8802083333333333,0.8024691358024691,0.7848101265822784
1,1,0.9080882352941176,0.7800650054171181,0.875,0.8333333333333334
2,2,0.8752834467120182,0.9046153846153846,0.8831168831168831,0.8625
3,3,0.8009389671361503,0.8176972281449894,0.813953488372093,0.8641975308641976
4,4,0.7886904761904762,0.8799019607843137,0.7974683544303798,0.8375
5,5,0.9223484848484849,0.9448717948717948,0.9024390243902439,0.8961038961038961
6,6,0.7948717948717949,0.8880090497737556,0.8292682926829268,0.8888888888888888
7,7,0.8333333333333334,0.793911007025761,0.8352941176470589,0.84
8,8,0.8463768115942029,0.7681159420289856,0.8452380952380952,0.8414634146341463
9,9,0.8488262910798122,0.8733766233766234,0.8604651162790697,0.8125
